Batch	Sample Name	Penalty Score	Length	Total Reads	BWA-mapped	Before Filtered	P4	P3	P2	P1	M2	M3	M4	Final Total
result_Thermo_cfDNA	Nala-128.TagSequencing_22_rawlib.b6.l70	6	70	3328302	440702	59650	18367	4	42972	147	41279	2	18363	59644
result_Thermo_cfDNA	Jasmine-168.TagSequencing_1_rawlib.b6.l70	6	70	2917882	306537	0	0	0	22	36	0	0	0	0
result_Thermo_cfDNA	Nala-128.TagSequencing_21_rawlib.b6.l70	6	70	2925227	391218	54645	16316	4	39778	105	38324	4	16313	54641
result_Thermo_cfDNA	Nala-128.TagSequencing_20_rawlib.b6.l70	6	70	3196109	386352	49358	14100	7	36422	74	35251	6	14097	49354
result_Thermo_cfDNA	Ariel-141.TagSequencing_11_rawlib.b6.l70	6	70	3497381	215690	0	0	0	53	90	0	0	0	0
result_Thermo_cfDNA	Ariel-141.TagSequencing_9_rawlib.b6.l70	6	70	2038630	161267	0	0	0	14	60	0	0	0	0
result_Thermo_cfDNA	Ariel-141.TagSequencing_13_rawlib.b6.l70	6	70	4018503	391349	0	0	0	75	192	0	0	0	0
result_Thermo_cfDNA	Ariel-142.TagSequencing_17_rawlib.b6.l70	6	70	3425445	284076	0	0	0	49	127	0	0	0	0
result_Thermo_cfDNA	Ariel-141.TagSequencing_14_rawlib.b6.l70	6	70	4297380	480394	0	0	0	60	254	0	0	0	0
result_Thermo_cfDNA	Ariel-141.TagSequencing_12_rawlib.b6.l70	6	70	3579780	242660	0	0	0	43	98	0	0	0	0
result_Thermo_cfDNA	Jasmine-169.TagSequencing_8_rawlib.b6.l70	6	70	2720044	316951	0	0	0	32	83	0	0	0	0
result_Thermo_cfDNA	Nala-127.TagSequencing_14_rawlib.b6.l70	6	70	2834735	355036	46566	14564	16	33156	76	31984	16	14557	46557
result_Thermo_cfDNA	Ariel-142.TagSequencing_18_rawlib.b6.l70	6	70	3961755	384025	0	0	0	45	180	0	0	0	0
result_Thermo_cfDNA	Jasmine-169.TagSequencing_7_rawlib.b6.l70	6	70	4115616	484856	0	0	0	35	118	0	0	0	0
result_Thermo_cfDNA	Nala-127.TagSequencing_18_rawlib.b6.l70	6	70	2872489	392786	46352	13074	1	34478	88	33277	1	13067	46345
result_Thermo_cfDNA	Ariel-142.TagSequencing_19_rawlib.b6.l70	6	70	3263142	306720	0	0	0	51	149	0	0	0	0
result_Thermo_cfDNA	Jasmine-169.TagSequencing_10_rawlib.b6.l70	6	70	3945668	483998	2	2	0	47	165	0	0	2	2
result_Thermo_cfDNA	Nala-127.TagSequencing_16_rawlib.b6.l70	6	70	2968140	280240	35109	10530	2	25736	81	24577	2	10529	35108
result_Thermo_cfDNA	Nala-128.TagSequencing_19_rawlib.b6.l70	6	70	2936092	365733	45694	13122	36	33583	94	32536	36	13116	45688
result_Thermo_cfDNA	Ariel-141.TagSequencing_10_rawlib.b6.l70	6	70	4542659	311279	0	0	0	37	146	0	0	0	0
result_Thermo_cfDNA	Nala-127.TagSequencing_17_rawlib.b6.l70	6	70	3075114	407542	49322	14120	34	36303	96	35167	34	14118	49319
result_Thermo_cfDNA	Ariel-142.TagSequencing_21_rawlib.b6.l70	6	70	3473491	318986	0	0	0	49	183	0	0	0	0
result_Thermo_cfDNA	Nala-127.TagSequencing_15_rawlib.b6.l70	6	70	2671339	336109	43324	13005	1	31560	77	30318	1	13003	43322
result_Thermo_cfDNA	Jasmine-168.TagSequencing_2_rawlib.b6.l70	6	70	2479043	255354	0	0	0	24	33	0	0	0	0
result_Thermo_cfDNA	Nala-127.TagSequencing_13_rawlib.b6.l70	6	70	2632044	323059	43596	13694	6	31081	63	29895	5	13688	43588
result_Thermo_cfDNA	Jasmine-168.TagSequencing_3_rawlib.b6.l70	6	70	2887011	323107	0	0	0	25	29	0	0	0	0
result_Thermo_cfDNA	Ariel-142.TagSequencing_22_rawlib.b6.l70	6	70	3736252	430645	0	0	0	57	192	0	0	0	0
result_Thermo_cfDNA	Jasmine-168.TagSequencing_4_rawlib.b6.l70	6	70	3248345	362341	0	0	0	13	53	0	0	0	0
result_Thermo_cfDNA	Jasmine-168.TagSequencing_5_rawlib.b6.l70	6	70	3093944	385808	0	0	0	22	45	0	0	0	0
result_Thermo_cfDNA	Jasmine-168.TagSequencing_6_rawlib.b6.l70	6	70	3072469	400997	0	0	0	34	67	0	0	0	0
result_Thermo_cfDNA	Ariel-142.TagSequencing_20_rawlib.b6.l70	6	70	3260246	289828	0	0	0	49	153	0	0	0	0
result_Thermo_cfDNA	Jasmine-169.TagSequencing_9_rawlib.b6.l70	6	70	2804094	326743	0	0	0	19	54	0	0	0	0
