Input:
result_Thermo_cfDNA/Nala-127.TagSequencing_15_rawlib.b6.l70_origin_1.bam
result_Thermo_cfDNA/Nala-127.TagSequencing_15_rawlib.b6.l70.sam

Reference region	Reference Count	Spike-in Region	Spike-in Count
chr1:115258765-115258765	17187	NRAS_2:711-711	2431
chr1:115258764-115258764	16909	NRAS_2:712-712	2431
chr1:115258711-115258711	16833	NRAS_2:765-765	63
chr1:115258710-115258710	16827	NRAS_2:766-766	63
chr3:178936100-178936100	13530	PIK3CA_10:570-570	1410
chr3:178936101-178936101	13530	PIK3CA_10:571-571	1410
chr12:25380315-25380315	18160	KRAS_3:520-520	2667
chr12:25380314-25380314	18162	KRAS_3:521-521	2668
chr12:25380267-25380267	18300	KRAS_3:568-568	2668
chr12:25380266-25380266	18300	KRAS_3:569-569	2668
chr1:115256556-115256556	26397	NRAS_3:669-669	139
chr1:115256555-115256555	26398	NRAS_3:670-670	139
chr1:115256509-115256509	18099	NRAS_3:716-716	145
chr1:115256508-115256508	18099	NRAS_3:717-717	145
chr17:37880981-37880981	13818	ERBB2_RST:369-369	2936
chr17:37880982-37880982	13817	ERBB2_RST:370-370	2936
chr7:55248997-55248997	13575	EGFR20_RST:382-382	4152
chr7:55248998-55248998	13577	EGFR20_RST:383-383	4152
chr7:55242471-55242471	23193	EGFR19_RST:367-367	4544
chr7:55242472-55242472	23182	EGFR19_RST:368-368	4544
chr7:55241663-55241663	16697	EGFR18_RST:279-279	167
chr7:55241664-55241664	16696	EGFR18_RST:280-280	167
chr7:55241714-55241714	16503	EGFR18_RST:330-330	169
chr7:55241715-55241715	16501	EGFR18_RST:331-331	169
chr15:66729155-66729155	15083	MAP2K1_3:465-465	2338
chr15:66729156-66729156	15080	MAP2K1_3:466-466	2338
chr7:55259454-55259454	20555	EGFR21_RST:277-277	4502
chr7:55259455-55259455	20547	EGFR21_RST:278-278	4502
chr7:55259512-55259512	20418	EGFR21_RST:335-335	4507
chr7:55259513-55259513	20418	EGFR21_RST:336-336	4507
chr7:116411906-116411906	21557	MET:528-528	4463
chr7:116411907-116411907	21561	MET:529-529	4463
chr7:116411954-116411954	31405	MET:576-576	52
chr7:116411955-116411955	31404	MET:577-577	52
chr7:116412005-116412005	14769	MET:627-627	1782
chr7:116412006-116412006	14766	MET:628-628	1782
chr7:116412071-116412071	14517	MET:693-693	1775
chr7:116412072-116412072	14541	MET:694-694	1775
chr17:7578508-7578508	14141	TP53:441-441	67
chr17:7578507-7578507	14140	TP53:442-442	67
chr17:7578449-7578449	13937	TP53:500-500	79
chr17:7578448-7578448	13929	TP53:501-501	79
chr17:7578400-7578400	13867	TP53:549-549	4049
chr17:7578399-7578399	13867	TP53:550-550	4049
chr17:7578200-7578200	18070	TP53:749-749	4067
chr17:7578199-7578199	18070	TP53:750-750	4067
chr17:7577130-7577130	13630	TP53:1819-1819	3591
chr17:7577129-7577129	13630	TP53:1820-1820	3591
chr17:7577080-7577080	13514	TP53:1869-1869	3566
chr17:7577079-7577079	13508	TP53:1870-1870	3566
